YEAR,TERM,NUMB,SUBJ,TITLE
1,1,201,ARCH,Intro to Architecture
1,1,202,ARCH,Design Skills
1,2,222,ARCH,Intro Arch Comp Graph
2,1,283,ARCH,Architectural Design I
2,2,284,ARCH,Architectural Des II
3,1,383,ARCH,Architectural Des III
3,2,384,ARCH,Architectural Des IV
3,3,314,ARH,Hist of World Arch I
4,1,315,ARH,Hist of World Arch II
4,1,423,ARCH,Media for Design Devel
4,1,430,ARCH,Architectural Contexts
4,2,440,ARCH,Human Context of Des
4,2,450,ARCH,Spatial Composition
4,3,461,ARCH,Structural Behavior
4,3,462,ARCH,Wood & Steel Bldg Sys
4,1,484,ARCH,Arch Design
4,2,484,ARCH,Arch Design
4,3,484,ARCH,Arch Design
5,1,470,ARCH,Building Construction
5,1,471,ARCH,Building Enclosure
5,1,484,ARCH,Arch Design
5,1,485,ARCH,Adv Arch Design I
5,2,486,ARCH,Adv Arch Design II
5,2,491,ARCH,Envir Control Sys I
5,2,492,ARCH,Envir Control Sys II
5,3,417,ARCH,Context Arch Profess
